season,team,name,age,g,gs,mp,fgperc,reb,ast,stl,blk,tov,ptsg,ws,sal
2004,MIA,Dwyane Wade,23,77,77,38.599998,0.47799999,5.1999998,6.8000002,1.6,1.1,4.1999998,24.1,11,2.83416
2010,GSW,Monta Ellis,25,80,80,40.299999,0.45100001,3.5,5.5999999,2.0999999,0.30000001,3.2,24.1,6,11
2009,TOR,Chris Bosh,25,70,70,36.099998,0.51800001,10.8,2.4000001,0.60000002,1,2.4000001,24,9.6000004,15.779912
2013,GSW,Stephen Curry,25,78,78,36.5,0.47099999,4.3000002,8.5,1.6,0.2,3.8,24,13.4,9.887642
2003,LAL,Kobe Bryant,25,65,64,37.599998,0.43799999,5.5,5.0999999,1.7,0.40000001,2.5999999,24,10.7,13.5
2000,BKN,Stephon Marbury,23,67,67,38.200001,0.44100001,3.0999999,7.5999999,1.2,0.1,2.9000001,23.9,7.8000002,10.13
2004,OKC,Ray Allen,29,78,78,39.299999,0.428,4.4000001,3.7,1.1,0.1,2.2,23.9,10.7,14.625
2014,GSW,Stephen Curry,26,80,80,32.700001,0.48699999,4.3000002,7.6999998,2,0.2,3.0999999,23.799999,15.7,10.629213
1998,UTA,Karl Malone,35,49,49,37.400002,0.493,9.3999996,4.0999999,1.3,0.60000002,3.3,23.799999,9.6000004,6.142
2007,SAC,Kevin Martin,24,61,57,36.299999,0.456,4.5,2.0999999,1,0.1,2.0999999,23.700001,8.3999996,1.808121
1995,WAS,Chris Webber,22,15,15,37.200001,0.54299998,7.5999999,5,1.8,0.60000002,3.3,23.700001,1.9,7
2011,OKC,Russell Westbrook,23,66,66,35.299999,0.45699999,4.5999999,5.5,1.7,0.30000001,3.5999999,23.6,7.9000001,5.082416
2006,POR,Zach Randolph,25,68,67,35.700001,0.46700001,10.1,2.2,0.80000001,0.2,3.2,23.6,5.6999998,12
2007,DAL,Dirk Nowitzki,29,77,77,36,0.479,8.6000004,3.5,0.69999999,0.89999998,2.0999999,23.6,12.9,16.360094
1999,DET,Jerry Stackhouse,25,82,82,38.400002,0.428,3.8,4.5,1.3,0.40000001,3.8,23.6,7.3000002,4.78125
2010,HOU,Kevin Martin,27,80,80,32.5,0.43599999,3.2,2.5,1,0.2,2.3,23.5,9.5,11.100005
2015,OKC,Russell Westbrook,27,80,80,34.400002,0.454,7.8000002,10.4,2,0.30000001,4.3000002,23.5,14,16.744218
2015,TOR,DeMar DeRozan,26,78,78,35.900002,0.44600001,4.5,4,1,0.30000001,2.2,23.5,9.8999996,9.5
