pid,gender,year,age,school,marriage,income,job,relig,pet,cell,cellnum,featurephone,smartphone,kidsphone,smart_or_not,tablet,tabletnum,wearable,wearablenum,phonebill,payapp,inapp_pay,theater,theaterpay,play,playpay,OTT,OTT_phone,OTT_tablet,OTT_PC,OTT_others,OTT_freq,OTT_hour,OTT_min,Newspaper,email,messanger,blog,cloud,SNS
470002,2,1936,83,2,4,1,2,1,2,1,1,1,0,0, ,2, ,2, ,25, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
470003,2,1969,50,4,2,4,1,2,2,1,1,0,1,0,3,2, ,2, ,55,2,2,2,20,0, ,2, , , , , , , ,1,1,1,2,2,2
480001,1,1940,79,3,2,5,1,2,2,1,1,1,0,0, ,2, ,2, ,30, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
480002,2,1946,73,3,2,1,2,2,2,1,1,1,0,0, ,2, ,2, ,25, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
490001,2,1964,55,4,2,5,1,2,2,1,1,0,1,0,2,2, ,2, ,60,2,2,2,25,0, ,2, , , , , , , ,2,2,1,2,2,2
490003,1,1995,24,5,1,1,2,2,2,1,1,0,1,0,3,2, ,2, ,75,2,2,5,50,1,70,2, , , , , , , ,1,1,1,2,2,1
500001,2,1961,58,4,4,4,1,2,2,1,1,0,1,0,3,2, ,2, ,60,2,2,2,30,0, ,2, , , , , , , ,1,2,1,2,2,1
510001,2,1944,75,2,3,6,1,1,2,1,1,1,0,0, ,2, ,2, ,26, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
520001,1,1961,58,4,2,6,1,2,2,1,1,0,1,0,3,1,1,2, ,65,2,2,2,20,0, ,2, , , , , , , ,1,2,1,2,2,1
520002,2,1972,47,4,2,1,2,2,2,1,1,0,1,0,3,1,1,2, ,58,2,2,3,35,1,50,2, , , , , , , ,1,2,1,2,2,2
530001,1,1948,71,3,2,4,1,2,2,1,1,1,0,0, ,2, ,2, ,25, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
530002,2,1947,72,3,2,1,2,1,2,1,1,1,0,0, ,2, ,2, ,25, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
530003,1,1969,50,4,2,6,1,2,2,1,1,0,1,0,3,2, ,2, ,60,2,2,2,20,0, ,2, , , , , , , ,1,1,1,2,2,1
530004,2,1972,47,4,2,4,1,2,2,1,1,0,1,0,3,2, ,2, ,50,2,2,3,30,0, ,2, , , , , , , ,1,1,1,2,2,1
540001,1,1947,72,3,2,5,1,2,2,1,1,0,1,0,2,2, ,2, ,50,2,2,0, ,0, ,2, , , , , , , ,2,2,1,2,2,2
540002,2,1957,62,3,2,1,2,2,2,1,1,0,1,0,3,2, ,2, ,45,2,2,1,15,0, ,2, , , , , , , ,2,2,1,2,2,2
540003,2,1988,31,4,1,5,1,2,2,1,1,0,1,0,4,2, ,2, ,75,2,2,4,45,0, ,2, , , , , , , ,1,1,1,2,2,1
550001,1,1945,74,2,4,5,1,1,1,1,1,1,0,0, ,2, ,2, ,25, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
550002,1,1981,38,4,2,6,1,2,1,1,1,0,1,0,3,2, ,2, ,50,2,2,3,30,0, ,2, , , , , , , ,1,1,1,2,2,1
550003,2,1983,36,4,2,4,1,2,1,1,1,0,1,0,3,2, ,2, ,65,2,2,4,45,0, ,2, , , , , , , ,1,1,1,2,2,1
560001,1,1974,45,5,2,9,1,2,2,1,1,0,1,0,3,2, ,2, ,60,2,2,3,30,0, ,2, , , , , , , ,1,1,1,2,2,1
560002,2,1977,42,4,2,1,2,2,2,1,1,0,1,0,3,2, ,2, ,55,2,2,2,20,2,100,2, , , , , , , ,1,1,2,2,2,1
570001,1,1958,61,4,2,6,1,2,2,1,1,0,1,0,3,2, ,2, ,50,2,2,1,15,0, ,2, , , , , , , ,1,2,1,2,2,2
570002,2,1958,61,4,2,5,1,2,2,1,1,0,1,0,3,2, ,2, ,50,2,2,3,30,0, ,2, , , , , , , ,2,1,1,2,2,1
580001,1,1944,75,3,2,1,2,2,2,1,1,1,0,0, ,2, ,2, ,30, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
580002,2,1948,71,3,2,1,2,1,2,1,1,1,0,0, ,2, ,2, ,25, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
590001,1,1975,44,4,1,6,1,2,2,1,1,0,1,0,3,2, ,2, ,65,2,2,1,15,0, ,2, , , , , , , ,1,1,1,2,2,2
600002,2,1962,57,3,2,1,2,1,2,1,1,0,1,0,3,2, ,2, ,55,2,2,4,45,0, ,2, , , , , , , ,1,1,1,2,2,2
600005,1,1996,23,5,1,3,2,2,2,1,1,0,1,0,3,2, ,2, ,57,2,2,10,120,1,50,2, , , , , , , ,1,1,1,2,2,2
610001,2,1991,28,5,1,6,1,2,2,1,1,0,1,0,3,2, ,2, ,55,2,2,5,50,2,75,2, , , , , , , ,1,1,1,2,2,2
620001,2,1983,36,5,1,6,1,2,2,1,1,0,1,0,4,2, ,2, ,65,2,2,5,60,1,75,1,1,2,2,2,7,0,15,1,1,1,2,2,1
630001,1,1978,41,5,2,7,1,2,1,1,1,0,1,0,3,2, ,2, ,75,2,2,2,20,0, ,2, , , , , , , ,1,1,1,2,2,2
